fecha,total_1ra_y_2da_dosis_aplicadas_acumulado
2021-10-18,56781549
2021-10-19,57182268
2021-10-20,57568270
2021-10-21,57962715
2021-10-22,58396008
2021-10-23,58600581
2021-10-24,58742039
2021-10-25,59048890
2021-10-26,59432817
2021-10-27,59744663
2021-10-28,60075582
2021-10-29,60380903
2021-10-30,60504508
2021-10-31,60649441
2021-11-01,60929534
2021-11-02,61229427
2021-11-03,61550161
2021-11-04,61883154
2021-11-05,62167651
2021-11-06,62323091
2021-11-07,62446088
2021-11-08,62673947
2021-11-09,62993915
2021-11-10,63319403
2021-11-11,63656050
2021-11-12,64005371
2021-11-13,64172167
2021-11-14,64180271
2021-11-15,64446692
2021-11-16,64730543
2021-11-17,64965058
